timestamp,balance
2021-01-28 03:05:17+00:00,711445528.991432
2021-01-29 03:05:17+00:00,826909377.2140334
2021-01-30 03:05:17+00:00,1057464889.0343909
2021-01-31 03:05:17+00:00,1002974810.9416648
2021-02-01 03:05:17+00:00,1107776077.062277
2021-02-02 03:05:17+00:00,986006538.1448443
2021-02-03 03:05:17+00:00,1027135764.1729987
2021-02-04 03:05:17+00:00,1115285978.3789542
2021-02-05 03:05:17+00:00,1127485570.530782
2021-02-05 12:55:43+00:00,1350559573.5908618
2021-02-05 17:37:31+00:00,1352455041.7590034
2021-02-06 17:37:31+00:00,1228439264.9327004
2021-02-07 17:37:31+00:00,1237679837.288456
2021-02-08 17:37:31+00:00,1060677896.362551
2021-02-09 17:37:31+00:00,1285041817.26071
2021-02-10 17:37:31+00:00,1409028905.648528
2021-02-11 17:37:31+00:00,1330874624.5026975
2021-02-12 17:37:31+00:00,1515989339.9962008
2021-02-13 17:37:31+00:00,1446657938.0696483
2021-02-14 17:37:31+00:00,1329368481.4822237
2021-02-15 17:37:31+00:00,1334196627.2407777
2021-02-16 17:37:31+00:00,1308636412.9355273
2021-02-17 17:37:31+00:00,1334056606.6052349
2021-02-18 17:37:31+00:00,1406704681.5370297
2021-02-19 17:37:31+00:00,1227236127.093934
2021-02-20 17:37:31+00:00,1918512543.4361281
2021-02-21 17:37:31+00:00,1869157045.9850059
2021-02-22 17:37:31+00:00,1940668242.843068
2021-02-23 17:37:31+00:00,1806849837.143714
2021-02-24 17:37:31+00:00,1636737266.802023
2021-02-25 17:37:31+00:00,1630314872.9332438
2021-02-26 17:37:31+00:00,1539391209.8996346
2021-02-26 22:35:51+00:00,1773192553.7088938
2021-02-27 22:35:51+00:00,1803683043.1246064
2021-02-28 22:35:51+00:00,1728996169.1061487
2021-03-01 22:35:51+00:00,1744799096.4222875
2021-03-02 22:35:51+00:00,1994529944.435701
2021-03-03 22:35:51+00:00,1852583728.37031
2021-03-04 22:35:51+00:00,2239856630.8560057
2021-03-05 22:35:51+00:00,2119814047.2584107
2021-03-06 22:35:51+00:00,2159850398.5204644
2021-03-07 22:35:51+00:00,2512923896.3368034
2021-03-08 22:35:51+00:00,2506678427.1484766
2021-03-09 22:35:51+00:00,2382501503.9318814
