,timestamp,address,symbol,price,returns
0,2022-05-11,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
1,2022-03-24,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
2,2022-03-22,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
3,2022-03-19,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
4,2022-03-18,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
5,2022-03-17,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
6,2022-03-13,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
7,2022-03-12,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
8,2022-03-11,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
9,2022-03-10,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
10,2022-03-09,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
11,2022-03-06,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
12,2022-03-01,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
13,2022-02-28,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
14,2022-02-26,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
15,2022-02-23,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
16,2022-02-22,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
17,2022-02-21,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
18,2022-02-20,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
19,2022-02-19,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
20,2022-02-17,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
21,2022-02-16,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
22,2022-02-15,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
23,2022-02-14,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
24,2022-02-13,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
25,2022-02-12,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
26,2022-02-11,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,0.0,
27,2022-02-10,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,4.4383885e-08,0.010713189070211635
28,2022-02-08,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,4.391093e-08,0.033234883197078346
29,2022-02-07,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,4.247554e-08,0.023386965154500266
30,2022-02-06,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,4.1493692e-08,-0.004332178132877367
31,2022-02-05,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,4.167384e-08,0.11622023672484036
32,2022-02-04,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,3.710135e-08,0.0027088502063297402
33,2022-02-03,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,3.7000984e-08,-0.04839526530440833
34,2022-02-02,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,3.8835694e-08,0.007240128656923591
35,2022-02-01,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,3.8555534e-08,0.014956924216718582
36,2022-01-31,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,3.7983153e-08,-0.0065348500467471505
37,2022-01-30,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,3.823218e-08,0.036267342000331076
38,2022-01-27,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,3.6870443e-08,-0.09900661876985188
39,2022-01-21,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,4.0707683e-08,-0.040624340551273466
40,2022-01-19,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,4.2395456e-08,-0.019416016511273438
41,2022-01-16,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,4.322665e-08,0.002450425214074041
42,2022-01-15,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,4.3120856e-08,-0.019770907462078213
43,2022-01-13,0xcbd0595113c173ab7746347d0600d390a85a7eea,ACE,4.3981878e-08,0.0
