,timestamp,address,symbol,price,returns,std_dev
604,2020-09-16,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.397057,0.0,
603,2020-09-17,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.4489124,0.015149466416866169,
602,2020-09-18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,7.106903,0.7230076302701961,
601,2020-09-19,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,5.623744,-0.23406893096714868,
600,2020-09-20,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,5.3329988,-0.053083927664542965,
599,2020-09-21,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,4.4930935,-0.17137226658376103,
598,2020-09-22,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.874836,-0.14803810069157594,0.2998536764694615
597,2020-09-23,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,4.468333,0.1425120690917404,0.3027105388675256
596,2020-09-24,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,4.896471,0.09149933314261964,0.30302431343337954
595,2020-09-25,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,4.929713,0.006766029786497698,0.13011166613342673
594,2020-09-26,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,4.846974,-0.016926178643813933,0.10687732318003317
593,2020-09-27,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,4.8317633,-0.003143119200571318,0.10617772951824055
592,2020-09-28,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,4.277537,-0.1218340968463788,0.09668616193026805
591,2020-09-29,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,4.2748265,-0.0006338598893163438,0.07790945972900955
590,2020-09-30,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,4.178506,-0.022789750389512368,0.05786083950810004
589,2020-10-01,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,4.304213,0.029640544102229962,0.045055019468839365
588,2020-10-02,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.920919,-0.09326824538112834,0.05035391261900935
587,2020-10-03,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.9050288,-0.004060906676901778,0.0511252745650413
586,2020-10-04,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.6782403,-0.05983069995569421,0.05057870592435706
585,2020-10-05,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.285509,-0.11291287180769101,0.04854618617850276
584,2020-10-06,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,2.7370822,-0.1826291241708366,0.0669735798143112
583,2020-10-07,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,2.9458532,0.07350602403024314,0.08213579697731099
582,2020-10-08,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.239513,0.09502452334426123,0.09357540023934918
581,2020-10-09,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.35221,0.034196819957350806,0.09395516768251147
580,2020-10-10,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.2307215,-0.036914342918963484,0.09374284435679613
579,2020-10-11,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.3463292,0.0351584969545558,0.0948879540851207
578,2020-10-12,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.4013977,0.016322451526061342,0.08589791416671942
577,2020-10-13,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.3854938,-0.004686660781441297,0.041459074578905575
576,2020-10-14,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.1222284,-0.0809527969531398,0.05231303909055564
575,2020-10-15,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.060255,-0.020048731823616567,0.03882007381569746
574,2020-10-16,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.0809767,0.006748411280627259,0.035599052620345684
573,2020-10-17,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.060028,-0.0068225908569979265,0.03412367892391564
572,2020-10-18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.2318437,0.05462871309172169,0.03807316669090607
571,2020-10-19,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,3.10308,-0.04065761270526612,0.03873543211161922
