,timestamp,address,symbol,price,returns,std_dev
730,2020-05-13,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,188.0235,0.0,
729,2020-05-14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,194.06024,0.03160167130919626,
728,2020-05-15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,204.50931,0.0524448737916696,
727,2020-05-16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,199.56726,-0.02446217775178754,
726,2020-05-17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,200.55125,0.004918502689095107,
725,2020-05-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,213.07033,0.06055247394658561,
724,2020-05-19,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,212.84859,-0.0010412311340079353,0.028889778305489017
723,2020-05-20,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,215.04198,0.010252197012829294,0.02820629408098946
722,2020-05-21,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,208.40564,-0.03134689202894323,0.0325178479503161
721,2020-05-22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,204.50676,-0.01888534168150758,0.02862233734108918
720,2020-05-23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,205.60097,0.005336220297483484,0.026827494987702094
719,2020-05-24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,210.96703,0.025764613873953617,0.027872513548085245
718,2020-05-25,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,200.3764,-0.051504267537795065,0.02464449082124888
717,2020-05-26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,201.9304,0.007725485768362237,0.025221677932115254
716,2020-05-27,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,200.10547,-0.009078506025343292,0.024160261330492875
715,2020-05-28,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,210.7587,0.051869299620821076,0.030510313955055504
714,2020-05-29,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,223.51262,0.05875400061518972,0.03484937245225654
713,2020-05-30,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,236.43709,0.05621429053435602,0.037742179184353054
712,2020-05-31,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,237.01482,0.00244050250742105,0.038110728923912006
711,2020-06-01,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,230.89667,-0.026152376396855817,0.03221169208879895
710,2020-06-02,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,253.36249,0.09285093566611888,0.04025177971297024
709,2020-06-03,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,239.81422,-0.054956689843488914,0.0492120265164864
708,2020-06-04,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,240.249,0.0018113452593809373,0.04854548267236778
707,2020-06-05,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,243.58656,0.01379647638906115,0.04571405760098402
706,2020-06-06,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,241.2954,-0.00945045285716605,0.042351034607208904
